Title,Equipment,Level,Type_Cardio,Type_Strength,BodyPart_Abdominals,BodyPart_Abductors,BodyPart_Adductors,BodyPart_Biceps,BodyPart_Calves,BodyPart_Chest,BodyPart_Forearms,BodyPart_Glutes,BodyPart_Hamstrings,BodyPart_Lats,BodyPart_Lower Back,BodyPart_Middle Back,BodyPart_Neck,BodyPart_Quadriceps,BodyPart_Shoulders,BodyPart_Traps,BodyPart_Triceps
HM Right Leg Swing,Body Only,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM Right Side-Kick,Body Only,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM Frog Stretch,Body Only,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM Kick-Out,Body Only,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM Left Leg Swing,Body Only,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNS Foam Roll Adductor,Body Only,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaBurn Groiner,Body Only,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Side-lying leg adduction scissor,Body Only,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Groin and Back Stretch,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adductor/Groin,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incline dumbbell biceps curl,Bands,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Banded biceps curl in squat position,Bands,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Banded Hammer Press - Gethin Variation,Bands,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Band standing concentration curl,Bands,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachialis SMR,Foam Roll,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wide-grip barbell curl,Barbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EZ-bar spider curl,Barbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbell Curl,Barbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Close-grip EZ-bar curl,Barbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Preacher Curl,Barbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbell Curls Lying Against An Incline,Barbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seated Close-Grip Concentration Barbell Curl,Barbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Close-grip barbell curl,Barbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Drag curl,Barbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Reverse-grip barbell curl,Barbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lying High Bench Barbell Curl,Barbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seated wide-grip curl to close-grip curl,Barbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seated Straigh-Bar Curl Superset,Barbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dave Draper Forehead Curl,Barbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Reverse-grip EZ-bar curl,Barbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EZ-Bar Spider Curl - Gethin Variation,Barbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbell curl-,Barbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Carter Barbell Curl,Barbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing band biceps curl,Barbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Close-Grip EZ-Bar Curl - Gethin Variation,Barbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seated Barbell Curl,Barbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AM Standing Barbell Curl,Barbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EZ-bar preacher curl,Barbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Standing Barbell Curl,Barbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Incline Biceps Curl,Barbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bicep Curls ""21s""",Barbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Incline Hammer Curls,Dumbbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hammer Curls,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Biceps curl to shoulder press,Dumbbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Concentration curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Flexor Incline Dumbbell Curls,Dumbbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell Bicep Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cross-body hammer curl,Dumbbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell Alternate Bicep Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Single-arm dumbbell preacher curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alternate Incline Dumbbell Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing concentration curl,Dumbbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alternating incline dumbbell biceps curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alternate Hammer Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seated dumbbell biceps curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Preacher Hammer Dumbbell Curl,Dumbbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell preacher curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lying Supine Dumbbell Curl,Dumbbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing Dumbbell Reverse Curl,Dumbbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Palms-out incline biceps curl,Dumbbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Straight-arm plank with biceps curl,Dumbbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Face-down incline dumbbell biceps curl,Dumbbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seated Dumbbell Inner Biceps Curl,Dumbbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing Inner-Biceps Curl,Dumbbell,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seated hammer curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Carter Incline Dumbbell Biceps Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Carter Concentration Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR Dumbbell Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell biceps curl to upright row,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR Dumbbell Hammer Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell overhead hold with single-arm curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR Kneeling Biceps,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lunge hold dumbbell curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR Dumbbell Biceps Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alternating dumbbell snatch,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS Incline Dumbbell Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS Hammer Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Reverse-grip dumbbell curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Incline Dumbbell Curl - Gethin Variation,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hammer curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seated Dumbbell Curl - Gethin Variation,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell Hammer Curl - Gethin Variation,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Single-arm seated dumbbell curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lying Cable Curl - Gethin Variation,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell biceps curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seated Biceps Hammer Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HM Alternating Reverse Lunge With Biceps Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AM Hammer Curls,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AM Seated Hammer Curls,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seated alternating biceps curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alternating hammer curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alternating biceps curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Slow Biceps Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Biceps Curl to Chest Punch,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Right Arm Heavy Biceps Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Left Arm Heavy Biceps Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Alternating Front Lunge Biceps Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Weighted Double-Time Biceps Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Heavy Right Arm Biceps Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Heavy Left Arm Biceps Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaBurn Dumbbell Drag Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaBurn Hammer Curl to Overhead Press,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaBurn Biceps Curl To Lateral Raise,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR2 Alternating Dumbbell Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR2 Pulse Biceps Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR2 Seesaw Dumbbell Biceps Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR2 Single-Dumbbell Biceps Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR2 Dumbbell Curl-Row Complex,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Standing Dumbbell Hammer Curl 21s,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Standing Biceps Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Standing Alternating Hammer Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Standing Alternating Biceps Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Single-Arm Hammer Preacher Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Single-Arm Dumbbell Preacher Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Seated Dumbbell Concentration Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Seated Biceps Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Seated Alternating Biceps Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Incline Hammer Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Incline Dumbbell Triceps Extension,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Hammer Curl,Dumbbell,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Reverse Plate Curls,Other,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing Biceps Stretch,Other,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Suspended Curl,Other,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate hammer curl,Other,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbell spider curl,Other,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbell forehead curl,Other,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Overhead cable curl,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing One-Arm Cable Curl,Cable,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Reverse Cable Curl,Cable,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing Biceps Cable Curl,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cable rope hammer curl,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lying cable biceps curl,Cable,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cable rope preacher hammer curl,Cable,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lying Close-Grip Bar Curl On High Pulley,Cable,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cable EZ-Bar Preacher Curl - Gethin Variation,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Squatting cable EZ-bar biceps curl,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cable straight-bar biceps curl,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing reverse-grip cable curl,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lying high-cable biceps curl,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
High-Pulley Cable Curl - Gethin Variation,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing High Cable Curl - Gethin Variation,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
High Cable Curls,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seated cable biceps curl,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lying Close-Grip Bar Curl On High Pulley - Gethin Variation,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing Cable Curl - Gethin Variation,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Double Arm Cable Biceps Curl,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AM Cable Biceps Curl,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Single-arm cable biceps curl,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UP Cable Curl With Straight Bar,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Cable Rope Hammer Curl,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Squatting Cable Straight-Bar Curl,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms High Cable Curl,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Cable Straight-Bar Curl,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Cable Concentration Curl,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms BFR High Cable Curl,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BFR cable rope hammer curl,Cable,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine Bicep Curl,Machine,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine Preacher Curls,Machine,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Single-arm machine preacher curl,Machine,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine preacher curl,Machine,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Smith machine drag curl,Machine,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms BFR Machine Preacher Curl,Machine,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seated Biceps,Body Only,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS Chin-Up,Body Only,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pull-up - Gethin Variation,Body Only,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UN Pull-Up Supinated,Body Only,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UN Pull-Up Pronated,Body Only,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UN Pull-Up Neutral,Body Only,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EZ-Bar Curl,E-Z Curl Bar,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Reverse Barbell Preacher Curls,E-Z Curl Bar,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Close-Grip EZ-Bar Curl with Band,E-Z Curl Bar,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing EZ-Bar Curl - Gethin Variation,E-Z Curl Bar,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS EZ-Bar Curl,E-Z Curl Bar,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing EZ-bar curl,E-Z Curl Bar,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Standing Overhand EZ-Bar Curl,E-Z Curl Bar,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms EZ-Bar Spider Curl,E-Z Curl Bar,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms EZ-Bar Preacher Curl,E-Z Curl Bar,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Arms Standing EZ-Bar Curl,E-Z Curl Bar,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Calf Raises - With Bands,Bands,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Peroneals Stretch,Bands,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Posterior Tibialis Stretch,Bands,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Calf SMR,Foam Roll,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rocking Standing Calf Raise,Barbell,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Standing barbell calf raise,Barbell,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Barbell Seated Calf Raise,Barbell,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Smith machine standing calf raise,Barbell,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Calf Raise On A Dumbbell,Dumbbell,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Standing Dumbbell Calf Raise,Dumbbell,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Single-leg standing dumbbell calf raise,Dumbbell,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell walking calf raise,Dumbbell,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Balance Board,Other,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Weighted donkey calf raise,Other,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Anterior Tibialis-SMR,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Foot-SMR,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Agility Ladder,Other,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Single-leg machine seated calf raise,Other,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Smith Machine Calf Raise,Machine,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Standing Calf Raises,Machine,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Seated Calf Raise,Machine,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Calf Press On The Leg Press Machine,Machine,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Calf Press,Machine,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Smith Machine Reverse Calf Raises,Machine,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Seated Single-Leg Calf Press - Gethin Variation,Machine,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Seated Calf Raise - Gethin Variation,Machine,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Donkey Calf Raise - Gethin Variation,Machine,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Standing Calf Raise Facing Hack Squat Machine - Gethin Variation,Machine,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Calf Press On A Hack Squat Machine - Gethin Variation,Machine,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Smith Machine Standing Calf Raises - Gethin Variation,Machine,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hack squat calf raise,Machine,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Seated Calf Press - Gethin Variation,Machine,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Leg press calf raise,Machine,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Machine seated calf raise,Machine,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30 Legs Seated Calf Raise,Machine,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30 Legs Standing Calf Raise,Machine,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Peroneals-SMR,Body Only,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Knee Circles,Body Only,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Standing Gastrocnemius Calf Stretch,Body Only,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Wall calf stretch,Body Only,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Seated Calf Stretch,Body Only,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Standing Calf Raise,Body Only,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Standing calf raise-,Body Only,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HM Left Calf-Spike Sumo Pulse,Body Only,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ankle Circles,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Calf Stretch Elbows Against Wall,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Standing Soleus And Achilles Stretch,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cross Over - With Bands,Bands,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bench Press - With Bands,Bands,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bench Press With Short Bands,Bands,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
